Item Name,Quantity,Price (total not quantity needed),Item Link,Notes
ESP-32,1,"6,99€",https://www.amazon.de/NodeMCU-Entwicklungsboard-ESP-WROOM-32-Bluetooth-Arduino/dp/B0DGG7LXMF,
WS2812B LED,1,"18,99€",https://www.amazon.de/Tesfish-Vollfarbiger-Individuell-Adressierbarer-Lichtleiste/dp/B0C784G75J,
DC Power Supply 5V 5A,1,"8,39€",https://www.amazon.de/JZK-Netzteil-Ersatz-Ladeger%C3%A4t-DC-Stecker-LED-Streifen/dp/B0GY88VJWS,
DC Power Connector,1,"4,99€",https://www.amazon.de/Buchse-Hohlbuchse-Adapter-Terminal-Schraubklemmen/dp/B09TB6VYHF,
WAGO 221-413,2,"6,50€",https://www.amazon.de/Wago-COMPACT-Verbindungsklemme-3-fach-221-413/dp/B01AKF3I58,
,,,,
,,,,
,,,,
,,,,
Total Price,,"45,86€",,
